idx,x,y
0,72.5093283599,39.5401302526
0,65.9708570175,72.7448559954
0,21.7780404779,6.61662530728
0,67.7597962473,72.4212015285
0,78.6171953363,52.5752573142
0,68.5077081898,15.4569189652
0,74.8850211598,25.4166063231
0,66.4549036599,19.8366286542
0,77.3178020985,48.3983464352
0,58.9124603193,75.6677562173
0,57.617447817,8.19480060319
0,76.0882257967,59.6799300235
0,57.4660505497,1.50441817488
0,79.4283834934,45.2107942872
0,76.3565221496,10.4182411281
0,64.4050752632,78.5841760758
0,40.6350418091,73.3947503698
0,43.9498645857,75.9587156671
0,78.0794214417,93.1333167652
0,71.9641671122,41.8742826668
0,80.4708943189,49.5021483467
0,31.0052582572,40.682503007
0,31.8384976954,71.8121653901
0,32.1464623358,43.4817094425
0,75.8552294691,62.5170442862
0,71.9650826544,17.7102359443
0,42.7817612539,12.9911884302
0,49.2572183396,81.8814032306
0,46.5927679682,84.9723827774
0,72.0463894612,12.9180067349
0,68.2307689907,80.8725016628
0,30.9962205791,71.694404938
0,65.475952195,14.2745856444
0,41.6775957748,30.2012640846
0,75.7719387944,69.8292300322
0,74.189036683,68.1335832223
0,53.4214628807,26.1868803879
0,63.92020226,30.8321939163
0,70.2895057187,82.5336485877
0,34.1188302357,45.7345513203
0,67.6707164012,37.110947969
0,53.2591294055,97.4757710964
0,63.5149808671,25.1000785788
0,67.9805388133,80.9571652197
0,67.3724659005,29.720400203
0,15.5607495229,80.0656402858
0,71.7907676942,71.0654666627
0,70.2425464362,24.1095975542
0,64.9374355444,81.5542049945
0,62.2135245453,21.4758389969
0,67.2694004772,18.7089683725
0,40.5701970446,79.3729634752
0,74.7411813341,21.1016372041
0,62.3911805626,5.62307076073
0,74.0216939058,76.1282745076
0,64.5682641863,83.6396338956
0,74.2477082092,20.314187812
0,46.0822757831,23.1104578154
0,52.4944067819,16.0511142003
0,28.2367819396,56.1395964513
0,42.9680469104,17.9454583961
0,39.7063261674,84.2752871038
0,33.0240700249,24.4678303872
0,50.8506336394,13.9876016304
0,65.6236574431,15.5828033531
0,76.1669198143,75.9361704048
0,71.7683189223,20.0110618423
0,45.5964849542,9.76334884943
0,65.953595185,31.1474060835
0,62.9344593731,31.9163906992
0,64.3737979844,28.8625834061
0,36.4490038543,50.5462690659
0,40.467576002,60.0275120878
0,81.7246168002,6.03754484635
0,48.8231974964,76.6353305783
0,35.6205617651,57.2860155789
0,50.5839631148,71.8066161014
0,61.8564651063,71.7927431642
0,39.3237560262,59.3008196656
0,42.1856791429,66.0348978235
0,30.8469189898,37.3416401041
0,29.3462004281,42.1487418312
0,82.1105579783,1.21055166293
0,38.3020058088,60.0177857932
0,56.5841530218,70.512514809
0,33.3393742865,0.5091067352
0,78.7742390407,35.4841012146
0,27.9226442446,25.9868781844
