   HJD          MAG      MAGERR   CONTAM    SKYLO   SKYHI   BLIM    TYPE    CHIP     XP   YP   FILTS 
   56423.7139080   19.136   0.020    0.00      22.19     30.60    0.088    1.0    4.0   163.44 1993.44  u
   56423.8620910   19.070   0.016    0.00      22.93     31.95    0.085    1.0    4.0    70.75 2060.01  u
   56424.6949220   19.209   0.021    0.00      19.38     28.98    0.089    1.0    4.0   147.53 2012.44  u
   56424.7749900   18.982   0.019    0.00      42.83     68.57    0.089    1.0    4.0   116.54 2031.77  u
   56424.8604500   19.054   0.015    0.00      39.22     57.04    0.079    1.0    4.0   132.58 2006.13  u
   56450.6592930   19.255   0.017    0.00      18.30     26.51    0.087    1.0    4.0   250.52 1937.43  u
   56450.7851960   18.935   0.017    0.00      21.16     30.51    0.082    1.0    4.0   193.17 1973.04  u
   56450.8836680   19.197   0.019    0.00      26.06     35.37    0.087    1.0    4.0   203.26 1970.10  u
   56450.9360750   19.248   0.022    0.00      46.57     56.34    0.096    1.0    4.0   206.95 1993.73  u
   56451.6598150   19.242   0.018    0.00      19.06     27.64    0.088    1.0    4.0   244.32 1975.91  u
   56451.7605620   18.982   0.017    0.00      16.62     25.06    0.082    1.0    4.0   184.40 1958.25  u
   56451.8837080   19.168   0.017    0.00      20.51     27.90    0.089    1.0    4.0   196.23 2067.90  u
   56452.6043250   19.026   0.016    0.00      17.03     24.49    0.085    1.0    4.0   290.70 1965.44  u
   56452.7999920   18.934   0.015    0.07      15.80     23.47    0.086    1.0    4.0   251.73 1967.16  u
   56452.8681620   19.100   0.017    0.00      17.36     25.44    0.082    1.0    4.0   198.41 1958.79  u
   56453.6697880   19.282   0.019    0.00      18.46     26.85    0.085    1.0    4.0   204.62 2031.67  u
   56453.8230240   18.860   0.055    0.00      18.82     26.27    0.089    1.0    4.0   276.40 1946.00  u
   56453.8929870   19.251   0.031    0.11      17.94     29.78    0.089    1.0    4.0   186.27 1947.70  u
   56509.5294390   18.960   0.016    0.00      16.91     28.52    0.171    1.0    4.0   202.83 2003.45  u
   56509.5994900   19.059   0.017    0.00      18.92     31.05    0.122    1.0    4.0   194.53 2028.97  u
   56509.6657810   19.275   0.015    0.00      14.04     23.68    0.084    1.0    4.0   164.10 1932.58  u
   56509.7306200   19.059   0.017    0.00      13.82     21.63    0.084    1.0    4.0   143.66 1913.28  u
   56510.6584130   19.270   0.017    0.00      14.21     21.58    0.086    1.0    4.0   141.82 1958.39  u
   56510.7224340   19.084   0.018    0.00      18.47     26.32    0.086    1.0    4.0   107.31 1944.89  u
   57112.8935940   19.237   0.094    0.09      13.89     21.37    0.085    1.0    4.0   172.55 1893.01  u
   57113.9069520   19.216   0.084    0.05      13.59     20.85    0.084    1.0    4.0   147.00 1923.73  u
   57114.7591720   19.173   0.182    0.00      13.27     20.43    0.086    1.0    4.0   146.43 1918.31  u
   57114.7722130   19.253   0.142    0.00      14.72     22.16    0.085    1.0    4.0   126.67 1968.92  u
   57114.7853120   18.930   0.103    0.00       1.10      1.72    0.206    1.0    3.0   225.12 1989.41  u
   57114.7986250   19.162   0.119    0.00       1.57      2.24    0.223    1.0    3.0   233.94 1988.38  u
   57114.8115690   19.503   0.153    0.00      11.89     14.02    0.317    7.0    3.0   233.21 1988.59  u
   57114.8244400   19.178   0.083    0.00      11.44     12.86    0.310    7.0    3.0   217.52 1980.07  u
   57114.8373810   19.139   0.102    0.00      10.75     12.02    0.234    7.0    3.0   218.28 1975.34  u
   57114.8503160   19.048   0.082    0.00       9.90     10.92    0.274    7.0    3.0   226.61 1976.72  u
   57114.8572100   19.206   0.085    0.00       8.85      9.91    0.329    7.0    3.0   224.86 1972.54  u
   57114.8640000   19.227   0.081    0.00       7.64      8.88    0.233    7.0    3.0   246.82 2007.56  u
   57114.8812680   19.277   0.081    0.00       6.31      7.51    0.223    7.0    3.0   225.57 1976.98  u
   57114.8936260   19.165   0.085    0.00       4.97      6.10    0.198    1.0    3.0   235.81 1978.67  u
   57114.9092010   19.228   0.086    0.00       4.20      5.18    0.223    7.0    3.0   226.34 1969.34  u
   57115.7377530   18.955   0.128    0.00       3.45      4.29    0.208    1.0    3.0   220.17 1977.56  u
   57115.7482710   18.878   0.123    0.00       1.66      2.33    0.204    1.0    3.0   234.22 1997.06  u
   57115.7611170   19.271   0.167    0.00       1.27      1.93    0.199    1.0    3.0   197.14 2006.12  u
   57115.7748830   19.227   0.136    0.00       1.60      2.23    0.195    1.0    3.0   229.54 1967.17  u
   57115.7878560   19.287   0.140    0.00      19.17     20.38    0.277    7.0    3.0   282.23 2023.58  u
   57115.8009000   18.899   0.096    0.00      17.40     19.25    0.268    7.0    3.0   224.34 1986.20  u
   57115.8139030   19.360   0.117    0.00      16.73     18.04    0.328    7.0    3.0   232.09 1977.05  u
   57115.8268540   19.163   0.110    0.00      15.75     16.88    0.284    7.0    3.0   216.97 1984.11  u
   57115.8400330   19.269   0.110    0.00      14.60     15.86    0.305    7.0    3.0   235.51 2001.31  u
   57115.8528930   19.489   0.134    0.00      12.50     14.91    0.231    7.0    3.0   223.85 1987.74  u
